iter	Passed	Remaining
539	4276	3642
540	4287	3637
541	4297	3631
542	4305	3623
543	4314	3616
544	4324	3610
545	4335	3605
546	4344	3598
547	4353	3590
548	4361	3583
549	4369	3575
550	4377	3567
551	4386	3560
552	4396	3553
553	4405	3546
554	4414	3539
555	4421	3530
556	4429	3522
557	4436	3514
558	4443	3505
559	4450	3496
560	4457	3488
561	4464	3479
562	4471	3471
563	4478	3462
564	4485	3453
565	4492	3444
566	4499	3435
567	4506	3427
568	4513	3418
569	4520	3410
570	4527	3401
571	4534	3392
572	4540	3383
573	4547	3374
574	4554	3366
575	4562	3358
576	4568	3349
577	4576	3341
578	4583	3332
579	4590	3323
580	4596	3314
581	4604	3306
582	4611	3298
583	4617	3289
584	4625	3281
585	4631	3272
586	4638	3263
587	4645	3255
588	4652	3246
589	4660	3238
590	4667	3230
591	4675	3222
592	4682	3213
593	4689	3204
594	4695	3196
595	4702	3187
596	4709	3179
597	4716	3170
598	4722	3161
599	4729	3153
600	4737	3144
601	4743	3136
602	4750	3127
603	4757	3119
604	4764	3110
605	4771	3102
606	4778	3093
607	4785	3085
608	4792	3076
609	4798	3068
610	4805	3059
611	4812	3051
612	4819	3042
613	4826	3034
614	4833	3025
615	4840	3017
616	4846	3008
617	4853	3000
618	4860	2991
619	4867	2983
620	4873	2974
621	4880	2966
622	4887	2957
623	4895	2949
624	4904	2942
625	4911	2934
626	4921	2927
627	4930	2920
628	4938	2913
629	4947	2905
630	4956	2898
631	4965	2891
632	4975	2884
633	4986	2878
634	4998	2873
635	5011	2867
636	5022	2861
637	5036	2857
638	5048	2851
639	5058	2845
640	5072	2841
641	5082	2834
642	5090	2826
643	5100	2819
644	5109	2812
645	5119	2805
646	5129	2798
647	5139	2792
648	5148	2784
649	5158	2777
650	5168	2770
651	5177	2763
652	5185	2755
653	5193	2747
654	5201	2739
655	5208	2731
656	5216	2723
657	5226	2716
658	5236	2709
659	5243	2701
660	5250	2692
661	5257	2684
662	5264	2676
663	5271	2667
664	5278	2659
665	5286	2651
666	5292	2642
667	5299	2633
668	5306	2625
669	5313	2617
670	5320	2608
671	5326	2600
672	5333	2591
673	5341	2583
674	5347	2574
675	5354	2566
676	5361	2557
677	5369	2550
678	5376	2541
679	5385	2534
680	5393	2526
681	5404	2520
682	5414	2512
683	5422	2505
684	5432	2498
685	5440	2490
686	5451	2483
687	5459	2475
688	5469	2468
689	5477	2460
690	5487	2453
691	5495	2446
692	5502	2437
693	5509	2429
694	5517	2421
695	5523	2412
696	5531	2404
697	5538	2396
698	5545	2388
699	5552	2379
700	5559	2371
701	5566	2362
702	5573	2354
703	5581	2346
704	5587	2338
705	5594	2329
706	5601	2321
707	5609	2313
708	5616	2305
709	5624	2297
710	5631	2289
711	5638	2280
712	5645	2272
713	5652	2264
714	5659	2255
715	5666	2247
716	5673	2239
717	5680	2230
718	5687	2222
719	5693	2214
720	5700	2205
721	5707	2197
722	5714	2189
723	5720	2180
724	5727	2172
725	5734	2164
726	5742	2156
727	5751	2148
728	5759	2140
729	5766	2132
730	5773	2124
731	5779	2116
732	5786	2107
733	5793	2099
734	5800	2091
735	5807	2083
736	5814	2074
737	5820	2066
738	5827	2058
739	5834	2050
740	5844	2042
